1, 37.2
1000439, 1.4
1000562, 2.2
1000788, 2.2
1001198, 2.4
100130, 1.2
1001730, 13.6
1001862, 35.0
1002194, 1.7
1002323, 3.9
1002329, 8.2
100268, 9.8
100305, 2.1
1003081, 3.0
1003342, 1.1
1003833, 28.1
1004061, 3.1
1004090, 8.2
1004122, 8.1
100422, 2.2
10048, 2.5
100514, 16.0
100548, 3.7
1005734, 5.3
1006070, 2.7
1006128, 1.8
1006141, 13.1
1006386, 5.2
100708, 39.9
1007085, 16.9
1007264, 5.5
1007292, 14.0
1007644, 1.1
1007926, 4.7
1008295, 5.0
1008858, 25.4
1008981, 48.3
1009458, 3.2
101015, 33.9
1010216, 2.6
10107, 9.6
1011020, 5.2
1011184, 3.1
101128, 18.5
1011626, 2.5
1011691, 1.8
101224, 12.3
1012571, 1.7
101322, 3.0
1013368, 2.4
101343, 2.3
1013431, 6.7
1013690, 2.4
1013844, 2.2
1014012, 3.2
1014124, 6.4
1014574, 10.6
1014745, 2.2
1015098, 105.4
1015532, 9.8
101598, 21.8
1015988, 2.1
1016099, 20.9
1016890, 2.8
1016965, 7.4
1017279, 9.7
1017319, 1.5
1017357, 1.5
1017580, 14.1
1018015, 3.7
1018235, 2.3
1018466, 3.6
1018570, 6.5
1018753, 2.2
101922, 9.2
1019435, 2.3
1019765, 3.2
1021, 2.6
1021421, 10.7
1021598, 3.5
1022138, 5.1
1023161, 2.9
102347, 7.3
1023664, 2.9
1024273, 1.3
1024274, 6.1
1024432, 16.5
1024778, 23.5
1024867, 4.7
1024985, 3.1
1025288, 2.8
1025878, 6.6
1027568, 12.2
1028219, 16.2
1028350, 2.1
1028570, 2.9
1028918, 8.6
1029867, 2.7
1029943, 28.6
1029977, 3.5
1030582, 16.8
103085, 2.5
103182, 5.5
1031946, 9.2
1032603, 7.8
1033000, 2.2
1033386, 3.1
1034015, 2.3
1034049, 28.8
1034827, 2.2
1034980, 3.0
1035670, 41.1
1036244, 21.0
1036284, 9.9
1036568, 10.3
1036605, 1.8
1036923, 1.8
1037095, 8.3
1037470, 1.6
103783, 25.1
1038032, 5.4
1038461, 7.2
1040042, 18.6
1041582, 6.1
1041745, 2.8
1042605, 3.5
1044110, 8.2
1044706, 4.0
1045147, 7.2
1045207, 1.8
10456, 2.1
1046258, 22.6
1046471, 19.4
104654, 3.4
1048743, 19.8
1048776, 3.0
1049045, 4.0
1049330, 3.2
104985, 1.7
1049966, 5.8
1050007, 4.6
1051539, 23.1
10516, 6.7
1051623, 2.0
1051760, 1.8
1051941, 1.7
1052179, 3.7
1052813, 5.3
105291, 3.7
1053211, 1.7
1053339, 36.6
105388, 2.6
105431, 3.6
1054447, 2.7
1054649, 18.8
1055836, 2.1
105615, 2.6
1057171, 33.5
1057551, 5.3
1057703, 30.6
1057874, 2.9
1057935, 6.3
1058352, 3.6
1058417, 34.6
1058585, 4.0
105872, 2.9
1060436, 4.9
1060858, 9.5
1061178, 69.2
1061400, 3.1
1061516, 6.4
1061593, 3.1
1063994, 2.8
1064086, 3.2
1065114, 5.5
1065146, 3.7
1065711, 1.7
106682, 3.7
1067400, 3.7
1067749, 1.9
106787, 12.3
1067884, 2.5
1067939, 2.6
106806, 2.1
1068116, 6.4
106866, 5.9
1068853, 2.5
1068907, 25.1
1069232, 5.9
1069265, 1.6
1069613, 7.5
1070031, 8.3
1070353, 2.4
107047, 32.6
1070953, 6.0
1071495, 10.0
1071707, 10.5
1071867, 42.6
1071931, 3.1
1072065, 13.0
